unified_sample_key	branch_A_sample_id	branch_B_sample_id	branch_C_sample_id	raw_file_name	raw_file_path	uuid	mapping_method	mapping_confidence	mapping_status	notes
41	41	41	41	e7b0cb4b-d9c4-440f-b5d4-857d7e53e303.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e7b0cb4b-d9c4-440f-b5d4-857d7e53e303.rna_seq.augmented_star_gene_counts.tsv	e7b0cb4b-d9c4-440f-b5d4-857d7e53e303	Verified_Row_Order	High	Verified	Independent manifest-based mapping
42	42	42	42	141d1d6b-251b-48cf-abfd-bdbfdd0605b7.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/141d1d6b-251b-48cf-abfd-bdbfdd0605b7.rna_seq.augmented_star_gene_counts.tsv	141d1d6b-251b-48cf-abfd-bdbfdd0605b7	Verified_Row_Order	High	Verified	Independent manifest-based mapping
43	43	43	43	d89d1ff1-7285-458d-8c32-2446a1d98b7b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d89d1ff1-7285-458d-8c32-2446a1d98b7b.rna_seq.augmented_star_gene_counts.tsv	d89d1ff1-7285-458d-8c32-2446a1d98b7b	Verified_Row_Order	High	Verified	Independent manifest-based mapping
44	44	44	44	d7b7ba93-518f-4ee9-a966-d5eb7c3cc8f3.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d7b7ba93-518f-4ee9-a966-d5eb7c3cc8f3.rna_seq.augmented_star_gene_counts.tsv	d7b7ba93-518f-4ee9-a966-d5eb7c3cc8f3	Verified_Row_Order	High	Verified	Independent manifest-based mapping
45	45	45	45	b7a4bdef-c538-4f6f-9892-b21620ff02bc.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/b7a4bdef-c538-4f6f-9892-b21620ff02bc.rna_seq.augmented_star_gene_counts.tsv	b7a4bdef-c538-4f6f-9892-b21620ff02bc	Verified_Row_Order	High	Verified	Independent manifest-based mapping
46	46	46	46	8a3c7c61-631f-4dd0-83fe-d2bbb33a17a4.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/8a3c7c61-631f-4dd0-83fe-d2bbb33a17a4.rna_seq.augmented_star_gene_counts.tsv	8a3c7c61-631f-4dd0-83fe-d2bbb33a17a4	Verified_Row_Order	High	Verified	Independent manifest-based mapping
47	47	47	47	4182c637-8f3b-4e58-8ea9-e8c9859bfbd3.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/4182c637-8f3b-4e58-8ea9-e8c9859bfbd3.rna_seq.augmented_star_gene_counts.tsv	4182c637-8f3b-4e58-8ea9-e8c9859bfbd3	Verified_Row_Order	High	Verified	Independent manifest-based mapping
48	48	48	48	4f0a0b90-41cb-4ea7-97e0-5f771dc22fb2.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/4f0a0b90-41cb-4ea7-97e0-5f771dc22fb2.rna_seq.augmented_star_gene_counts.tsv	4f0a0b90-41cb-4ea7-97e0-5f771dc22fb2	Verified_Row_Order	High	Verified	Independent manifest-based mapping
49	49	49	49	0ad4aa09-9a11-464b-a080-cc9fad5da4ca.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/0ad4aa09-9a11-464b-a080-cc9fad5da4ca.rna_seq.augmented_star_gene_counts.tsv	0ad4aa09-9a11-464b-a080-cc9fad5da4ca	Verified_Row_Order	High	Verified	Independent manifest-based mapping
50	50	50	50	0601cab0-163f-48e4-bc9f-87b068d8b591.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/0601cab0-163f-48e4-bc9f-87b068d8b591.rna_seq.augmented_star_gene_counts.tsv	0601cab0-163f-48e4-bc9f-87b068d8b591	Verified_Row_Order	High	Verified	Independent manifest-based mapping
51	51	51	51	f4e07a40-74e5-4c35-ae98-7ca190fff6c9.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f4e07a40-74e5-4c35-ae98-7ca190fff6c9.rna_seq.augmented_star_gene_counts.tsv	f4e07a40-74e5-4c35-ae98-7ca190fff6c9	Verified_Row_Order	High	Verified	Independent manifest-based mapping
52	52	52	52	520c0e78-f0a3-4e46-8c8e-00cf654e100d.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/520c0e78-f0a3-4e46-8c8e-00cf654e100d.rna_seq.augmented_star_gene_counts.tsv	520c0e78-f0a3-4e46-8c8e-00cf654e100d	Verified_Row_Order	High	Verified	Independent manifest-based mapping
53	53	53	53	7a25193c-a87d-4929-b724-3d89553fa028.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/7a25193c-a87d-4929-b724-3d89553fa028.rna_seq.augmented_star_gene_counts.tsv	7a25193c-a87d-4929-b724-3d89553fa028	Verified_Row_Order	High	Verified	Independent manifest-based mapping
